Current (A),Battery Voltage (V),Accel X (m_s2),Accel Y (m_s2),Accel Z (m_s2),Gyro H (deg),Gyro R (deg),Gyro P (deg),Latitude,Longitude,GPS Status
8.25,19.27,-0.75,-0.09,9.58,0.0,-4.5,-0.44,20.7368,-13.4546,A
8.32,19.41,-0.72,-0.1,9.59,0.0,-4.5,-0.44,20.7368,-13.4546,A
8.28,19.52,-0.75,-0.11,9.58,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.29,19.3,-0.73,-0.08,9.57,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.32,19.39,326.92,-0.08,9.55,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.22,19.46,-0.74,-0.08,9.57,0.0,2043.5,-0.44,20.7368,-103.4546,A
8.29,19.27,-0.74,-0.08,9.58,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.2,19.41,-0.72,-0.09,9.57,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.27,19.46,326.95,-0.1,9.58,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.31,19.33,326.94,-0.09,9.57,0.0,-12.5,-0.44,20.7368,-103.4546,A
8.23,19.38,-0.74,-0.08,9.56,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.27,19.48,-0.74,-0.08,9.56,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.31,19.33,326.94,-0.08,9.56,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.28,19.34,-0.73,-0.1,9.59,0.0,2035.5,-0.44,20.7368,-103.4546,A
8.18,19.42,-0.76,-0.07,9.56,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.32,19.3,326.95,-0.08,9.58,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.3,19.42,-0.74,-0.1,9.59,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.2,19.49,-0.76,-0.1,9.56,0.0,-12.5,-0.44,20.7368,-103.4546,A
8.31,19.28,-0.73,-0.07,9.57,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.3,19.39,-0.74,-0.08,9.55,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.24,19.48,-0.76,-0.07,9.58,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.29,19.31,326.95,-0.1,9.56,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.26,19.46,326.94,-0.08,9.56,0.0,2035.5,-0.44,20.7368,-103.4546,A
8.27,19.49,-0.75,-0.08,9.57,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.23,19.28,-0.76,-0.1,9.6,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.31,19.45,326.93,-0.08,9.58,0.0,2043.5,-0.44,20.7368,-103.4546,A
8.27,19.46,-0.76,-0.08,9.58,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.25,19.28,326.94,-0.11,9.59,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.27,19.41,-0.75,-0.1,9.59,0.0,-4.5,-0.44,20.7368,-103.4546,A
8.23,19.5,-0.71,-0.09,9.59,0.0,-4.31,-0.56,20.7368,-103.4546,A
8.32,19.3,-0.69,-0.08,9.67,0.12,-3.88,-0.75,20.7368,-103.4546,A
8.24,19.37,-0.63,-0.13,9.59,0.38,-3.81,-0.75,20.7368,-103.4546,A
8.27,19.48,-0.61,-0.11,9.59,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.33,19.31,-0.63,-0.13,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.28,19.41,-0.59,-0.13,9.55,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.26,19.49,-0.61,-0.12,9.58,0.38,-11.75,-0.75,20.7368,-103.4546,A
8.31,19.31,-0.62,-0.12,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.32,19.39,-0.59,-0.14,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.27,19.46,-0.58,-0.12,9.6,0.38,-3.75,-0.75,20.7368,-103.4546,X
8.28,19.33,-0.62,-0.13,9.55,0.38,-11.75,-0.75,20.7368,-103.4546,X
8.34,19.41,-0.59,-0.13,9.55,0.38,-3.75,-0.75,20.7368,-103.4546,X
8.24,19.46,-0.61,-0.12,9.59,0.38,-3.75,-0.75,20.7368,-103.4546,X
8.33,19.24,-0.62,-0.14,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,X
8.33,19.39,-0.62,-0.12,9.56,0.38,-3.75,-0.75,20.7368,0.1667,A
8.3,19.52,-0.6,-0.12,9.59,0.38,-3.75,-0.75,20.7368,0.1667,A
8.32,19.28,-0.59,-0.12,9.57,0.38,-11.75,-0.75,20.7368,0.1667,A
8.29,19.39,-0.61,-0.13,9.59,0.38,-3.75,-0.75,20.7368,0.1667,A
8.34,19.34,-0.61,-0.13,9.57,0.38,-3.75,-0.75,20.7368,0.1667,A
8.29,19.28,-0.6,-0.15,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.28,19.37,-0.6,-0.13,9.57,0.38,-11.75,-0.75,20.7368,-103.4546,A
8.29,19.54,-0.61,-0.15,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.3,19.33,-0.6,-0.13,9.59,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.3,19.42,-0.61,-0.14,9.59,0.38,-3.75,-0.75,20.7368,103.45,A
8.23,19.49,-0.61,-0.11,9.6,0.38,-3.75,-0.75,20.7368,103.45,A
8.3,19.34,-0.61,-0.15,9.58,0.38,-3.75,-0.75,20.7368,103.45,A
8.26,19.39,-0.6,-0.15,9.57,0.38,-3.75,-0.75,20.7368,103.45,A
8.23,19.5,-0.61,-0.11,9.57,0.38,-3.75,-0.75,20.7368,103.45,A
8.31,19.33,-0.6,-0.12,9.57,0.38,-3.75,-0.75,20.7368,103.45,A
8.3,19.44,-0.61,-0.11,9.58,0.38,-3.75,-0.75,20.7368,103.45,A
8.24,19.49,-0.59,-0.13,9.6,0.38,-3.75,-0.75,20.7368,103.45,A
8.31,19.31,-0.61,-0.14,9.57,0.38,-11.75,-0.75,20.7368,103.45,A
8.31,19.41,-0.61,-0.12,9.57,0.38,-11.75,-0.75,20.7368,103.45,A
8.23,19.48,-0.59,-0.13,9.55,0.38,-3.75,-0.75,20.7368,103.4546,A
8.3,19.31,-0.59,-0.15,9.57,0.38,-3.75,-0.75,20.7368,103.4546,A
8.32,19.42,-0.61,-0.11,9.59,0.38,-3.75,-0.75,20.7368,103.4546,A
8.23,19.54,-0.59,-0.12,9.56,0.38,-3.75,-0.75,20.7368,103.4546,A
8.3,19.3,-0.58,-0.13,9.56,0.38,-3.75,-0.75,20.7368,103.4546,A
8.32,19.45,-0.59,-0.11,9.57,0.38,-3.75,-0.75,20.7368,103.4546,A
8.28,19.53,-0.58,-0.14,9.57,0.38,-3.75,-0.75,20.7368,103.4546,A
8.31,19.31,-0.62,-0.12,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.25,19.42,-0.61,-0.11,9.56,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.28,19.53,-0.58,-0.13,9.58,0.38,-11.75,-0.75,20.7368,-103.4546,A
8.32,19.33,-0.61,-0.15,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.31,19.38,-0.61,-0.12,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.23,19.53,-0.6,-0.12,9.58,0.38,-3.75,-0.75,20.7368,16.4233,A
8.3,19.33,-0.62,-0.12,9.58,0.38,-3.75,-0.75,20.7368,16.4233,A
8.3,19.42,-0.61,-0.12,9.58,0.38,-11.75,-0.75,20.7368,16.4233,A
8.19,19.52,-0.61,-0.12,9.55,0.38,-3.75,-0.75,20.7368,16.4233,A
8.35,19.31,-0.59,-0.14,9.57,0.38,-3.75,-0.75,20.7368,16.4233,A
8.32,19.48,-0.62,-0.14,9.58,0.38,-11.75,-0.75,20.7368,-103.4625,A
8.25,19.56,-0.62,-0.11,9.53,0.38,-3.75,-0.75,20.7368,-103.4625,A
8.33,19.31,-0.59,-0.12,9.54,0.38,-3.75,-0.75,20.7368,-103.4625,A
8.32,19.45,-0.58,-0.15,9.57,0.38,-3.75,-0.75,20.7368,-103.4625,A
8.28,19.49,-0.6,-0.13,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.31,19.3,-0.62,-0.12,9.55,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.31,19.42,-0.61,-0.12,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.3,19.5,-0.6,-0.14,9.59,0.38,-11.75,-0.75,20.7368,-103.4546,A
8.22,19.27,-0.61,-0.14,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.32,19.41,-0.63,-0.14,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.26,19.53,-0.61,-0.13,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.3,19.28,-0.62,-0.15,9.59,0.38,-11.75,-0.75,20.7368,-103.4546,A
8.24,19.39,-0.64,-0.12,9.57,0.38,-11.75,-0.75,20.7368,-103.4546,A
8.28,19.44,-0.61,-0.13,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,X
8.35,19.35,-0.62,-0.13,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.26,19.37,-0.58,-0.13,9.57,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.27,19.49,-0.61,-0.15,9.58,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.32,19.31,-0.61,-0.13,9.56,0.38,-3.75,-0.75,20.7368,-103.4546,A
8.29,19.42,-0.62,-0.12,9.57,0.38,-11.75,-0.75,20.7368,-103.4546,A
8.27,19.45,-0.62,-0.13,9.57,0.38,-3.75,-0.75,20.7368,-13.4546,A
8.28,19.28,-0.62,-0.12,9.59,0.38,-3.75,-0.75,20.7368,-13.4546,A
8.32,19.45,-0.61,-0.12,9.56,0.38,-3.75,-0.75,20.7368,-13.4546,A
8.26,19.52,-0.62,-0.15,9.58,0.38,-3.75,-0.75,20.7368,-10.5379,A
8.35,19.28,-0.59,-0.13,9.59,0.38,-11.75,-0.75,20.7368,-10.5379,A
8.34,19.41,-0.59,-0.13,9.59,0.38,-3.75,-0.75,20.7368,-10.5379,A
8.21,19.5,-0.62,-0.12,9.53,0.38,-3.75,-0.75,20.7368,-10.5379,A
8.33,19.33,-0.6,-0.11,9.57,0.38,-3.75,-0.75,20.7368,-10.5379,A
8.31,19.46,-0.59,-0.14,9.57,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.29,19.56,-0.61,-0.13,9.56,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.3,19.3,-0.6,-0.14,9.57,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.35,19.41,-0.62,-0.13,9.57,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.3,19.54,-0.58,-0.13,9.56,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.31,19.33,-0.59,-0.11,9.57,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.32,19.44,-0.61,-0.11,9.57,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.29,19.52,-0.58,-0.13,9.53,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.36,19.33,-0.61,-0.13,9.59,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.31,19.42,-0.6,-0.13,9.59,0.38,-11.75,-0.75,20.7367,-10.5379,A
8.27,19.53,-0.6,-0.11,9.57,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.35,19.31,-0.61,-0.13,9.56,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.27,19.38,-0.6,-0.11,9.58,0.38,-3.75,-0.75,20.7367,-10.5379,A
8.26,19.5,-0.58,-0.12,9.57,0.38,-11.75,-0.75,20.7367,-10.5379,A
8.35,19.38,-0.59,-0.11,9.56,0.38,-3.75,-0.75,20.7368,-103.4545,A
8.31,19.5,-0.59,-0.14,9.58,0.38,-3.75,-0.75,20.7368,-103.4545,A
8.27,19.46,-0.6,-0.13,9.59,0.38,-3.75,-0.75,20.7368,-103.4545,A
8.26,19.34,-0.61,-0.13,9.56,0.38,-11.75,-0.75,20.7368,-103.4545,A
8.32,19.44,-0.61,-0.12,9.57,0.38,-11.75,-0.75,20.7368,-103.4545,A
